source,transaction_id,expected_match_source,expected_match_ids,expected_exception_type
processor,PAY2001,bank,BANK3001,
bank,BANK3001,erp,JNL4001,
processor,PAY2002,bank,BANK3002,
bank,BANK3002,erp,JNL4002,
processor,PAY2003,bank,BANK3003,
bank,BANK3003,erp,JNL4003,
processor,PAY2004,bank,BANK3004,
bank,BANK3004,erp,JNL4004,
processor,PAY2005,bank,BANK3005,
bank,BANK3005,erp,JNL4005,
processor,PAY2006,bank,BANK3006,
bank,BANK3006,erp,JNL4006,
processor,PAY2007,bank,BANK3007,
bank,BANK3007,erp,JNL4007,
processor,PAY2008,bank,BANK3008,
bank,BANK3008,erp,JNL4008,
processor,PAY2009,bank,BANK3009,
bank,BANK3009,erp,JNL4009,
processor,PAY2010,bank,BANK3010,
bank,BANK3010,erp,JNL4010,
processor,PAY2011,bank,BANK3011,
bank,BANK3011,erp,JNL4011,
processor,PAY2012,bank,BANK3012,
bank,BANK3012,erp,JNL4012,
processor,PAY2013,bank,BANK3013,
bank,BANK3013,erp,JNL4013,
processor,PAY2014,bank,BANK3014,
bank,BANK3014,erp,JNL4014,
processor,PAY2015,bank,BANK3015,
bank,BANK3015,erp,JNL4015,
processor,PAY2016,bank,BANK3016,
bank,BANK3016,erp,JNL4016,
processor,PAY2017,bank,BANK3017,
bank,BANK3017,erp,JNL4017,
processor,PAY2018,bank,BANK3018,
bank,BANK3018,erp,JNL4018,
processor,PAY2019,bank,BANK3019,
bank,BANK3019,erp,JNL4019,
processor,PAY2020,bank,BANK3020,
bank,BANK3020,erp,JNL4020,
processor,PAY2021,bank,BANK3021,
bank,BANK3021,erp,JNL4021,
processor,PAY2022,bank,BANK3022,
bank,BANK3022,erp,JNL4022,
processor,PAY2023,bank,BANK3023,
bank,BANK3023,erp,JNL4023,
processor,PAY2024,bank,BANK3024,
bank,BANK3024,erp,JNL4024,
processor,PAY2025,bank,BANK3025,
bank,BANK3025,erp,JNL4025,
processor,PAY2026,bank,BANK3026,
bank,BANK3026,erp,JNL4026,
processor,PAY2027,bank,BANK3027,
bank,BANK3027,erp,JNL4027,
processor,PAY2028,bank,BANK3028,
bank,BANK3028,erp,JNL4028,
processor,PAY2029,bank,BANK3029,
bank,BANK3029,erp,JNL4029,
processor,PAY2030,bank,BANK3030,
bank,BANK3030,erp,JNL4030,
processor,PAY2031,bank,BANK3031,
bank,BANK3031,erp,JNL4031,
processor,PAY2032,bank,BANK3032,
bank,BANK3032,erp,JNL4032,
processor,PAY2033,bank,BANK3033,
bank,BANK3033,erp,JNL4033,
processor,PAY2034,bank,BANK3034,
bank,BANK3034,erp,JNL4034,
processor,PAY2035,bank,BANK3035,
bank,BANK3035,erp,JNL4035,
processor,PAY2036,bank,BANK3036,
bank,BANK3036,erp,JNL4036,
processor,PAY2037,bank,BANK3037,
bank,BANK3037,erp,JNL4037,
processor,PAY2038,bank,BANK3038,
bank,BANK3038,erp,JNL4038,
processor,PAY2039,bank,BANK3039,
bank,BANK3039,erp,JNL4039,
processor,PAY2040,bank,BANK3040,
bank,BANK3040,erp,JNL4040,
processor,PAY2041,bank,BANK3041,
bank,BANK3041,erp,JNL4041,
processor,PAY2042,bank,BANK3042,
bank,BANK3042,erp,JNL4042,
processor,PAY2043,bank,BANK3043,
bank,BANK3043,erp,JNL4043,
processor,PAY2044,bank,BANK3044,
bank,BANK3044,erp,JNL4044,
processor,PAY2045,bank,BANK3045,
bank,BANK3045,erp,JNL4045,
processor,PAY2046,bank,BANK3046,
bank,BANK3046,erp,JNL4046,
processor,PAY2047,bank,BANK3047,
bank,BANK3047,erp,JNL4047,
processor,PAY2048,bank,BANK3048,
bank,BANK3048,erp,JNL4048,
processor,PAY2049,bank,BANK3049,
bank,BANK3049,erp,JNL4049,
processor,PAY2050,bank,BANK3050,
bank,BANK3050,erp,JNL4050,
processor,PAY2051,bank,BANK3051,
bank,BANK3051,erp,JNL4051,
processor,PAY2052,bank,BANK3052,
bank,BANK3052,erp,JNL4052,
processor,PAY2053,bank,BANK3053,
processor,PAY2054,bank,BANK3054,
processor,PAY2055,bank,BANK3055,
processor,PAY2056,bank,BANK3056,
processor,PAY2057,bank,BANK3057,
processor,PAY2058,bank,BANK3058,
processor,PAY2059,bank,BANK3059,
processor,PAY2060,bank,BANK3060,
processor,PAY2061,bank,BANK3061,
