transaction_id,transaction_date,value_date,amount,currency,reference,description
BANK3001,2026-09-02,2026-09-02,68079.73,INR,PAY2001,SETTLEMENT PAYOUT PAY2001
BANK3002,2026-09-02,2026-09-02,27658.04,INR,PAY2002,SETTLEMENT PAYOUT PAY2002
BANK3003,2026-09-02,2026-09-02,23879.19,INR,PAY2003,SETTLEMENT PAYOUT PAY2003
BANK3004,2026-09-02,2026-09-02,36543.45,INR,PAY2004,SETTLEMENT PAYOUT PAY2004
BANK3005,2026-09-02,2026-09-02,57870.76,INR,PAY2005,SETTLEMENT PAYOUT PAY2005
BANK3006,2026-09-02,2026-09-02,48183.47,INR,PAY2006,SETTLEMENT PAYOUT PAY2006
BANK3007,2026-09-02,2026-09-02,69171.94,INR,PAY2007,SETTLEMENT PAYOUT PAY2007
BANK3008,2026-09-02,2026-09-02,20196.84,INR,PAY2008,SETTLEMENT PAYOUT PAY2008
BANK3009,2026-09-02,2026-09-02,58221.05,INR,PAY2009,SETTLEMENT PAYOUT PAY2009
BANK3010,2026-09-02,2026-09-02,66944.12,INR,PAY2010,SETTLEMENT PAYOUT PAY2010
BANK3011,2026-09-02,2026-09-02,23660.89,INR,PAY2011,SETTLEMENT PAYOUT PAY2011
BANK3012,2026-09-02,2026-09-02,30614.99,INR,PAY2012,SETTLEMENT PAYOUT PAY2012
BANK3013,2026-09-02,2026-09-02,44008.83,INR,PAY2013,SETTLEMENT PAYOUT PAY2013
BANK3014,2026-09-02,2026-09-02,68270.27,INR,PAY2014,SETTLEMENT PAYOUT PAY2014
BANK3015,2026-09-02,2026-09-02,70440.57,INR,PAY2015,SETTLEMENT PAYOUT PAY2015
BANK3016,2026-09-02,2026-09-02,10896.63,INR,PAY2016,SETTLEMENT PAYOUT PAY2016
BANK3017,2026-09-02,2026-09-02,69133.86,INR,PAY2017,SETTLEMENT PAYOUT PAY2017
BANK3018,2026-09-02,2026-09-02,19907.0,INR,PAY2018,SETTLEMENT PAYOUT PAY2018
BANK3019,2026-09-02,2026-09-02,43928.21,INR,PAY2019,SETTLEMENT PAYOUT PAY2019
BANK3020,2026-09-02,2026-09-02,12373.14,INR,PAY2020,SETTLEMENT PAYOUT PAY2020
BANK3021,2026-09-02,2026-09-02,34627.87,INR,PAY2021,SETTLEMENT PAYOUT PAY2021
BANK3022,2026-09-02,2026-09-02,30696.35,INR,PAY2022,SETTLEMENT PAYOUT PAY2022
BANK3023,2026-09-02,2026-09-02,52283.92,INR,PAY2023,SETTLEMENT PAYOUT PAY2023
BANK3024,2026-09-02,2026-09-02,25212.15,INR,PAY2024,SETTLEMENT PAYOUT PAY2024
BANK3025,2026-09-02,2026-09-02,70969.95,INR,PAY2025,SETTLEMENT PAYOUT PAY2025
BANK3026,2026-09-02,2026-09-02,50331.55,INR,PAY2026,SETTLEMENT PAYOUT PAY2026
BANK3027,2026-09-02,2026-09-02,52272.57,INR,PAY2027,SETTLEMENT PAYOUT PAY2027
BANK3028,2026-09-02,2026-09-02,50174.04,INR,PAY2028,SETTLEMENT PAYOUT PAY2028
BANK3029,2026-09-02,2026-09-02,6378.02,INR,PAY2029,SETTLEMENT PAYOUT PAY2029
BANK3030,2026-09-02,2026-09-02,48036.23,INR,PAY2030,SETTLEMENT PAYOUT PAY2030
BANK3031,2026-09-02,2026-09-02,38130.6,INR,PAY2031,SETTLEMENT PAYOUT PAY2031
BANK3032,2026-09-02,2026-09-02,26392.77,INR,PAY2032,SETTLEMENT PAYOUT PAY2032
BANK3033,2026-09-02,2026-09-02,56454.67,INR,PAY2033,SETTLEMENT PAYOUT PAY2033
BANK3034,2026-09-02,2026-09-02,11045.15,INR,PAY2034,SETTLEMENT PAYOUT PAY2034
BANK3035,2026-09-02,2026-09-02,66424.32,INR,PAY2035,SETTLEMENT PAYOUT PAY2035
BANK3036,2026-09-02,2026-09-02,17034.46,INR,PAY2036,SETTLEMENT PAYOUT PAY2036
