journal_id,invoice_id,posting_date,account,debit,credit,amount,currency,reference,counterparty
JNL4001,ORD5001,2026-09-03,Accounts Receivable,0,68079.73,68079.73,INR,PAY2001,Acme Traders
JNL4002,ORD5002,2026-09-03,Accounts Receivable,0,27658.04,27658.04,INR,PAY2002,Bluewave Logistics
JNL4003,ORD5003,2026-09-03,Accounts Receivable,0,23879.19,23879.19,INR,PAY2003,Crestline Foods
JNL4004,ORD5004,2026-09-03,Accounts Receivable,0,36543.45,36543.45,INR,PAY2004,Delta Textiles
JNL4005,ORD5005,2026-09-03,Accounts Receivable,0,57870.76,57870.76,INR,PAY2005,Everline Media
JNL4006,ORD5006,2026-09-03,Accounts Receivable,0,48183.47,48183.47,INR,PAY2006,Falcon Freight
JNL4007,ORD5007,2026-09-03,Accounts Receivable,0,69171.94,69171.94,INR,PAY2007,Greenfield Farms
JNL4008,ORD5008,2026-09-03,Accounts Receivable,0,20196.84,20196.84,INR,PAY2008,Horizon Retail
JNL4009,ORD5009,2026-09-03,Accounts Receivable,0,58221.05,58221.05,INR,PAY2009,Indigo Health
JNL4010,ORD5010,2026-09-03,Accounts Receivable,0,66944.12,66944.12,INR,PAY2010,Jupiter Electronics
JNL4011,ORD5011,2026-09-03,Accounts Receivable,0,23660.89,23660.89,INR,PAY2011,Kestrel Analytics
JNL4012,ORD5012,2026-09-03,Accounts Receivable,0,30614.99,30614.99,INR,PAY2012,Lumen Energy
JNL4013,ORD5013,2026-09-03,Accounts Receivable,0,44008.83,44008.83,INR,PAY2013,Meridian Pharma
JNL4014,ORD5014,2026-09-03,Accounts Receivable,0,68270.27,68270.27,INR,PAY2014,Novastar Apparel
JNL4015,ORD5015,2026-09-03,Accounts Receivable,0,70440.57,70440.57,INR,PAY2015,Oakridge Furniture
JNL4016,ORD5016,2026-09-03,Accounts Receivable,0,10896.63,10896.63,INR,PAY2016,Pinecrest Consulting
JNL4017,ORD5017,2026-09-03,Accounts Receivable,0,69133.86,69133.86,INR,PAY2017,Acme Traders
JNL4018,ORD5018,2026-09-03,Accounts Receivable,0,19907.0,19907.0,INR,PAY2018,Bluewave Logistics
JNL4019,ORD5019,2026-09-03,Accounts Receivable,0,43928.21,43928.21,INR,PAY2019,Crestline Foods
JNL4020,ORD5020,2026-09-03,Accounts Receivable,0,12373.14,12373.14,INR,PAY2020,Delta Textiles
JNL4021,ORD5021,2026-09-03,Accounts Receivable,0,34627.87,34627.87,INR,PAY2021,Everline Media
JNL4022,ORD5022,2026-09-03,Accounts Receivable,0,30696.35,30696.35,INR,PAY2022,Falcon Freight
JNL4023,ORD5023,2026-09-03,Accounts Receivable,0,52283.92,52283.92,INR,PAY2023,Greenfield Farms
JNL4024,ORD5024,2026-09-03,Accounts Receivable,0,25212.15,25212.15,INR,PAY2024,Horizon Retail
JNL4025,ORD5025,2026-09-03,Accounts Receivable,0,70969.95,70969.95,INR,PAY2025,Indigo Health
JNL4026,ORD5026,2026-09-03,Accounts Receivable,0,50331.55,50331.55,INR,PAY2026,Jupiter Electronics
JNL4027,ORD5027,2026-09-03,Accounts Receivable,0,52272.57,52272.57,INR,PAY2027,Kestrel Analytics
JNL4028,ORD5028,2026-09-03,Accounts Receivable,0,50174.04,50174.04,INR,PAY2028,Lumen Energy
JNL4029,ORD5029,2026-09-03,Accounts Receivable,0,6378.02,6378.02,INR,PAY2029,Meridian Pharma
JNL4030,ORD5030,2026-09-03,Accounts Receivable,0,48036.23,48036.23,INR,PAY2030,Novastar Apparel
JNL4031,ORD5031,2026-09-03,Accounts Receivable,0,38130.6,38130.6,INR,PAY2031,Oakridge Furniture
JNL4032,ORD5032,2026-09-03,Accounts Receivable,0,26392.77,26392.77,INR,PAY2032,Pinecrest Consulting
JNL4033,ORD5033,2026-09-03,Accounts Receivable,0,56454.67,56454.67,INR,PAY2033,Acme Traders
JNL4034,ORD5034,2026-09-03,Accounts Receivable,0,11045.15,11045.15,INR,PAY2034,Bluewave Logistics
JNL4035,ORD5035,2026-09-03,Accounts Receivable,0,66424.32,66424.32,INR,PAY2035,Crestline Foods
JNL4036,ORD5036,2026-09-03,Accounts Receivable,0,17034.46,17034.46,INR,PAY2036,Delta Textiles
JNL4037,ORD5037,2026-09-03,Accounts Receivable,0,12648.22,12648.22,INR,PAY2037,Crestline Foods
JNL4038,ORD5038,2026-09-03,Accounts Receivable,0,13359.88,13359.88,INR,PAY2038,Delta Textiles
JNL4039,ORD5039,2026-09-03,Accounts Receivable,0,57044.39,57044.39,INR,PAY2039,Everline Media
JNL4040,ORD5040,2026-09-03,Accounts Receivable,0,70103.48,70103.48,INR,PAY2040,Falcon Freight
JNL4041,ORD5041,2026-09-03,Accounts Receivable,0,71643.73,71643.73,INR,PAY2041,Greenfield Farms
JNL4042,ORD5042,2026-09-03,Accounts Receivable,0,49174.23,49174.23,INR,PAY2042,Horizon Retail
JNL4043,ORD5043,2026-09-03,Accounts Receivable,0,68129.16,68129.16,INR,PAY2043,Indigo Health
JNL4044,ORD5044,2026-09-03,Accounts Receivable,0,68669.25,68669.25,INR,PAY2044,Jupiter Electronics
JNL4045,ORD5045,2026-09-03,Accounts Receivable,0,35539.52,35539.52,INR,PAY2045,Kestrel Analytics
JNL4046,ORD5046,2026-09-03,Accounts Receivable,0,62722.54,62722.54,INR,PAY2046,Lumen Energy
JNL4047,ORD5047,2026-09-03,Accounts Receivable,0,63656.19,63656.19,INR,PAY2047,Meridian Pharma
JNL4048,ORD5048,2026-09-03,Accounts Receivable,0,48402.39,48402.39,INR,PAY2048,Novastar Apparel
JNL4049,ORD5049,2026-09-03,Accounts Receivable,0,78846.39,78846.39,INR,PAY2049,Oakridge Furniture
JNL4050,ORD5050,2026-09-03,Accounts Receivable,0,42494.58,42494.58,INR,PAY2050,Pinecrest Consulting
JNL4051,ORD5051,2026-09-03,Accounts Receivable,0,14185.01,14185.01,INR,PAY2051,Acme Traders
JNL4052,ORD5052,2026-09-03,Accounts Receivable,0,71597.42,71597.42,INR,PAY2052,Bluewave Logistics
JNL4053,SET7001,2026-09-03,Accounts Receivable,0,41280.07,41280.07,INR,SET7001,Settlement Batch
JNL4054,SET7002,2026-09-03,Accounts Receivable,0,39201.67,39201.67,INR,SET7002,Settlement Batch
JNL4055,SET7003,2026-09-03,Accounts Receivable,0,34318.58,34318.58,INR,SET7003,Settlement Batch
JNL4056,SET7004,2026-09-03,Accounts Receivable,0,46787.19,46787.19,INR,SET7004,Settlement Batch
JNL4057,SET7005,2026-09-03,Accounts Receivable,0,28376.96,28376.96,INR,SET7005,Settlement Batch
JNL4058,SET7006,2026-09-03,Accounts Receivable,0,53004.11,53004.11,INR,SET7006,Settlement Batch
JNL4059,SET7007,2026-09-03,Accounts Receivable,0,28878.75,28878.75,INR,SET7007,Settlement Batch
JNL4060,INV6001,2026-09-01,Accounts Receivable,0,44906.93,44906.93,INR,INV6001,Delta Textiles
JNL4061,INV6002,2026-09-01,Accounts Receivable,0,58107.12,58107.12,INR,INV6002,Everline Media
JNL4062,INV6003,2026-09-01,Accounts Receivable,0,50644.44,50644.44,INR,INV6003,Falcon Freight
JNL4063,INV6004,2026-09-01,Accounts Receivable,0,43189.75,43189.75,INR,INV6004,Greenfield Farms
JNL4064,INV6005,2026-09-01,Accounts Receivable,0,77026.19,77026.19,INR,INV6005,Horizon Retail
JNL4065,INV6006,2026-09-01,Accounts Receivable,0,76588.91,76588.91,INR,INV6006,Greenfield Farms
JNL4066,INV6007,2026-09-01,Accounts Receivable,0,80771.56,80771.56,INR,INV6007,Horizon Retail
JNL4067,INV6008,2026-09-01,Accounts Receivable,0,93129.9,93129.9,INR,INV6008,Indigo Health
JNL4068,INV6009,2026-09-01,Accounts Receivable,0,66183.76,66183.76,INR,INV6009,Jupiter Electronics
JNL4069,INV6010,2026-09-01,Accounts Receivable,0,52926.49,52926.49,INR,INV6010,Crestline Foods
JNL4070,INV6011,2026-09-01,Accounts Receivable,0,30140.11,30140.11,INR,INV6011,Delta Textiles
JNL4071,INV6012,2026-09-01,Accounts Receivable,0,45415.33,45415.33,INR,INV6012,Everline Media
JNL4072,INV6013,2026-09-01,Accounts Receivable,0,30275.65,30275.65,INR,INV6013,Falcon Freight
JNL4073,INV6014,2026-09-01,Accounts Receivable,0,18505.88,18505.88,INR,INV6014,Everline Media
JNL4074,INV6015,2026-09-01,Accounts Receivable,0,30019.61,30019.61,INR,INV6015,Falcon Freight
JNL4075,INV6016,2026-09-01,Accounts Receivable,0,17365.59,17365.59,INR,INV6016,Greenfield Farms
JNL4076,INV6017,2026-09-01,Accounts Receivable,0,33127.71,33127.71,INR,INV6017,Horizon Retail
JNL4077,INV6018,2026-09-01,Accounts Receivable,0,15003.85,15003.85,INR,INV6018,Indigo Health
JNL4078,INV6019,2026-09-01,Accounts Receivable,0,38520.0,38520.0,INR,INV6019,Bluewave Logistics
JNL4079,INV6020,2026-09-01,Accounts Receivable,0,21280.67,21280.67,INR,INV6020,Crestline Foods
JNL4080,INV6021,2026-09-01,Accounts Receivable,0,30184.54,30184.54,INR,INV6021,Delta Textiles
JNL4081,INV6022,2026-09-01,Accounts Receivable,0,17993.49,17993.49,INR,INV6022,Everline Media
JNL4082,INV6023,2026-09-01,Accounts Receivable,0,20403.93,20403.93,INR,INV6023,Falcon Freight
JNL4083,INV6024,2026-09-01,Accounts Receivable,0,15713.27,15713.27,INR,INV6024,Delta Textiles
JNL4084,INV6025,2026-09-01,Accounts Receivable,0,12108.48,12108.48,INR,INV6025,Everline Media
JNL4085,INV6026,2026-09-01,Accounts Receivable,0,34045.98,34045.98,INR,INV6026,Falcon Freight
JNL4086,INV6027,2026-09-01,Accounts Receivable,0,43250.93,43250.93,INR,INV6027,Greenfield Farms
JNL4087,INV6028,2026-09-01,Accounts Receivable,0,15682.39,15682.39,INR,INV6028,Horizon Retail
JNL4088,INV6029,2026-09-01,Accounts Receivable,0,31192.16,31192.16,INR,INV6029,Indigo Health
JNL4089,INV6030,2026-09-01,Accounts Receivable,0,12332.65,12332.65,INR,INV6030,Jupiter Electronics
